address,property_type,bedrooms,bathrooms,parking_spaces,auction,auction_date,auction_time,price,Agent Details
"10/7 Epping Road, Epping, NSW 2121",House,3,2,1,True,Saturday 29 June,12:00 pm,AUCTION (if not sold prior),"{'name': 'David Cale', 'rating': '5.0', 'reviews': '(24 reviews)', 'phone': '0419827588', 'address': '8/74 Rawson Street, EPPING, NSW 2121'}"
"51/10-14 Hazlewood Place, Epping, NSW 2121",Apartment,2,2,1,False,,,Contact Agent,"{'name': 'Rebecca Ying Li', 'rating': '5.0', 'reviews': '(52 reviews)', 'phone': '0406864588', 'address': 'Ground Floor, 3 Carlingford Road, EPPING, NSW 2121'}"
"16/34-40 Edensor Street, Epping, NSW 2121",Apartment,3,1,1,False,,,Just Listed!,"{'name': 'Sarah Lin', 'rating': '5.0', 'reviews': '(3 reviews)', 'phone': '0401378606', 'address': '15 Bridge Street, EPPING, NSW 2121'}"
"210/18-22 Maida Road, Epping, NSW 2121",Apartment,1,2,1,False,,,"$640,000-$650,000","{'name': 'Vincent Zhen Jin', 'rating': '5.0', 'reviews': '(No reviews yet)', 'phone': '0411780696', 'address': 'Suite 2c3, Level 2, 25-33 Allen Street, WATERLOO, NSW 2017'}"
"G04/7 Smith Street, Epping, NSW 2121",Apartment,2,2,1,False,,,"For Sale - $998,000","{'name': 'Betty Ockerlander', 'rating': '4.9', 'reviews': '(89 reviews)', 'phone': '0408505080', 'address': 'Ground Floor, 3 Carlingford Road, EPPING, NSW 2121'}"
"147a Midson Road, Epping, NSW 2121",Duplex/Semi-detached,6,4,2,False,,,Just Listed,"{'name': 'Christine He', 'rating': '5.0', 'reviews': '(45 reviews)', 'phone': '0409226126', 'address': 'Shop 5, 182 Forest Road, HURSTVILLE, NSW 2220'}"
"1609/22 Cambridge Street, Epping, NSW 2121",Apartment,1,1,1,True,Saturday 6 July,12:00 pm,AUCTION UNLESS SOLD PRIOR| lUX 1 BEDROOM + STUDY,"{'name': 'Inab Khan', 'rating': '5.0', 'reviews': '(3 reviews)', 'phone': '0433944266', 'address': 'Shop 14/101 Waterloo Road, MACQUARIE PARK, NSW 2113'}"
"203/28 Cliff Road, Epping, NSW 2121",Apartment,2,2,1,False,,,Expression of Interest,"{'name': 'Nancy Yang', 'rating': '5.0', 'reviews': '(53 reviews)', 'phone': '0412820398', 'address': '2/6-8 Old Castle Hill Road, CASTLE HILL, NSW 2154'}"
"211/22 Cambridge Street, Epping, NSW 2121",Apartment,2,2,1,True,Saturday 8 June,1:00 pm,UNDER OFFER BY INAB KHAN,"{'name': 'Bruce - Li Tan', 'rating': '5.0', 'reviews': '(24 reviews)', 'phone': '0478886675', 'address': 'Shop 14/101 Waterloo Road, MACQUARIE PARK, NSW 2113'}"
"318/19 Epping Road, Epping, NSW 2121",Apartment,2,2,1,False,,,Motivated to Sell!,"{'name': 'Yating Wang (jenny)', 'rating': '5.0', 'reviews': '(14 reviews)', 'phone': '0416847500', 'address': '320-322 Pacific Hwy, LINDFIELD, NSW 2070'}"
